,title_without_year,year,main_genre,MPAA-Rating,Runtime,Distributor,Budget_$,Domestic_$,International_$,total_revenue_$,imdb_rating
202,Thor ,2011,Action,PG-13,115,Paramount Pictures,"$150,000,000","$181,030,624","$268,295,994","$449,326,618",7.0
203,Pearl Harbor ,2001,Romance,PG-13,183,Walt Disney Studios Motion Pictures,"$140,000,000","$198,542,554","$250,678,391","$449,220,945",6.2
204,La La Land ,2016,Musical,PG-13,128,Lionsgate,"$30,000,000","$151,101,803","$296,305,892","$447,407,695",8.0
205,The Bourne Ultimatum ,2007,Action,PG-13,115,Universal Pictures,"$110,000,000","$227,471,070","$216,628,965","$444,100,035",8.0
206,Alvin and the Chipmunks: The Squeakquel ,2009,Animation,PG,88,Twentieth Century Fox,"$75,000,000","$219,614,612","$223,525,393","$443,140,005",4.5
207,Men in Black II ,2002,Sci-Fi,PG-13,88,Sony Pictures Entertainment (SPE),"$140,000,000","$190,418,803","$251,400,000","$441,818,803",6.2
208,Les Misérables ,2012,Romance,PG-13,158,Universal Pictures,"$61,000,000","$148,809,770","$293,000,000","$441,809,770",7.5
209,Terminator Genisys ,2015,Thriller,PG-13,126,Paramount Pictures,"$155,000,000","$89,760,956","$350,842,581","$440,603,537",6.3
210,Warcraft ,2016,Adventure,PG-13,123,Universal Pictures,"$160,000,000","$47,365,290","$391,683,624","$439,048,914",6.7
211,A Star Is Born ,2018,Music,R,136,Warner Bros.,"$36,000,000","$215,288,866","$220,900,000","$436,188,866",7.6
212,The Greatest Showman ,2017,Drama,PG,105,Twentieth Century Fox,"$84,000,000","$174,340,174","$260,653,009","$434,993,183",7.5
213,Terminator 3: Rise of the Machines ,2003,Action,R,109,Warner Bros.,"$200,000,000","$150,371,112","$283,000,000","$433,371,112",6.3
214,The Mummy Returns ,2001,Action,PG-13,130,Universal Pictures,"$98,000,000","$202,019,785","$230,993,489","$433,013,274",6.4
215,Pokémon Detective Pikachu ,2019,Comedy,PG,104,Warner Bros.,"$150,000,000","$144,105,346","$288,900,000","$433,005,346",6.5
