,title_without_year,year,main_genre,MPAA-Rating,Runtime,Distributor,Budget_$,Domestic_$,International_$,total_revenue_$,imdb_rating
1163,La Vie En Rose ,2007,Romance,PG-13,140,Picturehouse,"$25,000,000","$10,301,706","$75,973,087","$86,274,793",7.6
1164,Hall Pass ,2011,Romance,R,105,Warner Bros.,"$36,000,000","$45,060,734","$41,096,503","$86,157,237",5.9
1165,I Can Only Imagine ,2018,Family,PG,110,Roadside Attractions,"$7,000,000","$83,482,352","$2,604,529","$86,086,881",7.3
1166,John Wick ,2014,Thriller,R,101,Lionsgate,"$20,000,000","$43,037,835","$42,975,221","$86,013,056",7.4
1167,The Second Best Exotic Marigold Hotel ,2015,Drama,PG,122,Fox Searchlight Pictures,"$10,000,000","$33,078,266","$52,900,000","$85,978,266",6.5
1168,Date Movie ,2006,Comedy,PG-13,83,Twentieth Century Fox,"$20,000,000","$48,548,426","$37,200,608","$85,749,034",2.8
1169,Match Point ,2005,Thriller,R,124,DreamWorks Distribution,"$15,000,000","$23,151,529","$62,487,127","$85,638,656",7.6
1170,Spy Kids 4-D: All the Time in the World ,2011,Comedy,PG,89,Dimension Films,"$27,000,000","$38,538,188","$47,026,122","$85,564,310",
1171,Paper Towns ,2015,Comedy,PG-13,109,Twentieth Century Fox,"$12,000,000","$32,000,304","$53,511,996","$85,512,300",6.2
1172,The Possession ,2012,Thriller,PG-13,92,Lionsgate,"$14,000,000","$49,130,154","$36,315,921","$85,446,075",5.9
1173,Did You Hear About the Morgans? ,2009,Drama,PG-13,103,Sony Pictures Entertainment (SPE),"$58,000,000","$29,580,087","$55,700,163","$85,280,250",4.9
1174,Nerve ,2016,Adventure,PG-13,96,Lionsgate,"$19,000,000","$38,583,626","$46,667,799","$85,251,425",6.5
1175,Final Fantasy: the Spirits Within ,2001,Fantasy,PG-13,106,Sony Pictures Entertainment (SPE),"$137,000,000","$32,131,830","$53,000,000","$85,131,830",6.4
1176,J. Edgar ,2011,Romance,R,137,Warner Bros.,"$35,000,000","$37,306,030","$47,614,509","$84,920,539",6.5
1177,Going in Style ,2017,Comedy,PG-13,96,Warner Bros.,"$25,000,000","$45,018,541","$39,900,000","$84,918,541",6.6
1178,Sicario ,2015,Drama,R,121,Lionsgate,"$30,000,000","$46,889,293","$37,983,151","$84,872,444",7.7
1179,Carrie ,2013,Horror,R,100,Screen Gems,"$30,000,000","$35,266,619","$49,524,059","$84,790,678",7.4
1180,Zodiac ,2007,Thriller,R,157,Paramount Pictures,"$65,000,000","$33,080,084","$51,705,830","$84,785,914",7.7
1181,The Animal ,2001,Comedy,PG-13,84,Revolution Studios,"$47,000,000","$57,743,062","$27,029,680","$84,772,742",4.8
1182,Jackass Number Two ,2006,Comedy,R,92,Paramount Pictures,"$11,500,000","$72,778,712","$11,866,452","$84,645,164",7.0
1183,The Judge ,2014,Drama,R,141,Warner Bros.,"$50,000,000","$47,119,388","$37,300,000","$84,419,388",7.4
1184,What to Expect When You're Expecting ,2012,Drama,PG-13,110,Lionsgate,"$40,000,000","$41,152,203","$43,231,799","$84,384,002",5.7
1185,Premonition ,2007,Mystery,PG-13,96,Sony Pictures Entertainment (SPE),"$20,000,000","$47,852,604","$36,294,228","$84,146,832",5.9
1186,Pan's Labyrinth ,2006,War,R,118,Picturehouse,"$19,000,000","$37,634,615","$46,215,652","$83,850,267",8.2
1187,Marmaduke ,2010,Comedy,PG,99,Twentieth Century Fox,"$50,000,000","$33,644,788","$50,117,056","$83,761,844",4.3
1188,Blow ,2001,Biography,R,124,New Line Cinema,"$53,000,000","$52,990,775","$30,291,521","$83,282,296",7.5
1189,Piranha 3D ,2010,Fantasy,R,88,Dimension Films,"$24,000,000","$25,003,155","$58,185,010","$83,188,165",5.5
1190,Oceans ,2010,Documentary,,104,Walt Disney Studios Motion Pictures,"$80,000,000","$19,422,319","$63,668,237","$83,090,556",7.7
1191,Rings ,2017,Horror,PG-13,102,Paramount Pictures,"$25,000,000","$27,793,018","$55,287,872","$83,080,890",4.5
1192,Savages ,2012,Thriller,R,131,Universal Pictures,"$45,000,000","$47,382,068","$35,584,084","$82,966,152",6.4
1193,28 Days Later... ,2003,Horror,R,113,Fox Searchlight Pictures,"$8,000,000","$45,064,915","$37,654,970","$82,719,885",7.5
1194,"Big Mommas: Like Father, Like Son ",2011,Comedy,PG-13,107,Twentieth Century Fox,"$32,000,000","$37,915,414","$44,770,652","$82,686,066",4.4
1195,Sinister ,2012,Thriller,R,110,Lionsgate,"$3,000,000","$48,086,903","$34,428,210","$82,515,113",6.8
1196,Act of Valor ,2012,Adventure,R,110,Relativity Media,"$12,000,000","$70,012,847","$12,484,188","$82,497,035",6.4
1197,The Constant Gardener ,2005,Mystery,R,129,Focus Features,"$25,000,000","$33,579,797","$48,886,873","$82,466,670",7.4
1198,The Strangers ,2008,Mystery,R,86,Rogue Pictures,"$9,000,000","$52,597,610","$29,812,846","$82,410,456",6.1
1199,Hitman: Agent 47 ,2015,Thriller,R,96,Twentieth Century Fox,"$35,000,000","$22,467,450","$59,880,206","$82,347,656",5.7
1200,Reign of Fire ,2002,Thriller,PG-13,101,Walt Disney Studios Motion Pictures,"$60,000,000","$43,061,982","$39,088,201","$82,150,183",6.2
1201,Catwoman ,2004,Action,PG-13,104,Warner Bros.,"$100,000,000","$40,202,379","$41,900,000","$82,102,379",3.4
1202,Abduction ,2011,Action,PG-13,106,Lionsgate,"$35,000,000","$28,087,155","$54,000,000","$82,087,155",5.1
1203,Hostel ,2006,Horror,R,94,Lionsgate,"$4,800,000","$47,326,473","$34,653,353","$81,979,826",5.9
1204,Ouija: Origin of Evil ,2016,Thriller,PG-13,99,Universal Pictures,"$9,000,000","$35,144,505","$46,561,241","$81,705,746",6.2
1205,Frankenweenie ,2012,Sci-Fi,PG,87,Walt Disney Studios Motion Pictures,"$39,000,000","$35,291,068","$46,200,000","$81,491,068",6.9
1206,Edge of Darkness ,2010,Crime,R,117,Warner Bros.,"$80,000,000","$43,313,890","$37,812,632","$81,126,522",6.6
1207,Underworld: Blood Wars ,2017,Action,R,91,Screen Gems,"$35,000,000","$30,353,973","$50,739,340","$81,093,313",5.7
1208,Sinbad: Legend of the Seven Seas ,2003,Fantasy,PG,88,DreamWorks Distribution,"$60,000,000","$26,483,452","$54,289,625","$80,773,077",6.7
1209,A Dog's Way Home ,2019,Drama,PG,96,Sony Pictures Entertainment (SPE),"$18,000,000","$42,004,346","$38,703,788","$80,708,134",6.7
1210,The Rookie ,2002,Family,,127,Walt Disney Studios Motion Pictures,"$22,000,000","$75,600,072","$5,093,465","$80,693,537",8.0
1211,The Rundown ,2003,Comedy,PG-13,104,Universal Pictures,"$85,000,000","$47,726,342","$32,931,579","$80,657,921",6.7
1212,Vampires Suck ,2010,Horror,PG-13,82,Twentieth Century Fox,"$20,000,000","$36,661,504","$43,886,362","$80,547,866",3.4
1213,Muppets Most Wanted ,2014,Adventure,PG,107,Walt Disney Studios Motion Pictures,"$50,000,000","$51,183,113","$29,200,000","$80,383,113",6.4
1214,Runaway Jury ,2003,Crime,PG-13,127,Twentieth Century Fox,"$60,000,000","$49,443,628","$30,710,512","$80,154,140",7.1
1215,Exit Wounds ,2001,Thriller,R,101,Warner Bros.,"$50,000,000","$51,758,599","$28,200,000","$79,958,599",5.6
1216,The Wedding Ringer ,2015,Comedy,R,101,Screen Gems,"$23,000,000","$64,460,211","$15,339,669","$79,799,880",6.6
1217,The Grey ,2012,Thriller,R,117,Open Road Films (II),"$25,000,000","$51,580,236","$28,201,459","$79,781,695",6.7
1218,Jackass: The Movie ,2002,Documentary,R,87,Paramount Pictures,"$5,000,000","$64,255,312","$15,238,519","$79,493,831",6.6
1219,Letters to Juliet ,2010,Romance,PG,105,Summit Entertainment,"$30,000,000","$53,032,453","$26,260,991","$79,293,444",6.5
1220,Stealth ,2005,Sci-Fi,PG-13,121,Sony Pictures Entertainment (SPE),"$135,000,000","$32,116,746","$47,151,576","$79,268,322",5.1
1221,Manchester by the Sea ,2016,Drama,R,137,Roadside Attractions,"$9,000,000","$47,695,371","$31,292,777","$78,988,148",7.8
1222,Paranormal Activity: The Ghost Dimension ,2015,Mystery,R,88,Paramount Pictures,"$10,000,000","$18,300,124","$60,603,000","$78,903,124",4.6
1223,The Boss ,2016,Comedy,R,99,Universal Pictures,"$29,000,000","$63,285,885","$15,558,697","$78,844,582",5.4
1224,Righteous Kill ,2008,Thriller,R,101,Overture Films,"$60,000,000","$40,081,410","$38,379,289","$78,460,699",6.0
1225,The Family ,2013,Comedy,R,111,Relativity Media,"$30,000,000","$36,918,811","$41,500,000","$78,418,811",6.3
1226,Collateral Damage ,2002,Thriller,R,108,Warner Bros.,"$85,000,000","$40,077,257","$38,305,176","$78,382,433",5.5
1227,Scary Movie V ,2013,Comedy,PG-13,88,Dimension Films,"$20,000,000","$32,015,787","$46,362,957","$78,378,744",3.5
1228,R.I.P.D. ,2013,Comedy,PG-13,96,Universal Pictures,"$130,000,000","$33,618,855","$44,705,365","$78,324,220",5.6
1229,Priest ,2011,Adventure,PG-13,87,Screen Gems,"$60,000,000","$29,137,000","$49,172,505","$78,309,505",5.7
1230,If I Stay ,2014,Fantasy,PG-13,107,Warner Bros.,"$11,000,000","$50,474,843","$27,800,000","$78,274,843",6.7
1231,The Other Boleyn Girl ,2008,Romance,PG-13,115,Sony Pictures Entertainment (SPE),"$35,000,000","$26,814,957","$51,384,722","$78,199,679",6.7
1232,Duplicity ,2009,Crime,PG-13,125,Universal Pictures,"$60,000,000","$40,572,825","$37,603,356","$78,176,181",6.1
1233,Tag ,2018,Comedy,R,100,Warner Bros.,"$28,000,000","$54,730,625","$23,400,000","$78,130,625",6.5
1234,Exorcist: The Beginning ,2004,Mystery,R,114,Warner Bros.,"$80,000,000","$41,821,986","$36,288,035","$78,110,021",5.1
1235,Showtime ,2002,Comedy,PG-13,95,Warner Bros.,"$85,000,000","$38,082,712","$39,659,020","$77,741,732",5.5
1236,The Number 23 ,2007,Thriller,R,98,New Line Cinema,"$30,000,000","$35,193,167","$42,484,386","$77,677,553",6.4
1237,Windtalkers ,2002,Action,R,134,Metro-Goldwyn-Mayer (MGM),"$115,000,000","$40,914,068","$36,714,197","$77,628,265",6.1
1238,The Back-up Plan ,2010,Romance,PG-13,104,CBS Films,"$35,000,000","$37,490,007","$39,987,001","$77,477,008",5.3
1239,The Lives of Others ,2007,Thriller,R,137,Sony Pictures Classics,"$2,000,000","$11,286,112","$66,070,830","$77,356,942",8.4
1240,Diary of a Wimpy Kid: Dog Days ,2012,Animation,PG,94,Twentieth Century Fox,"$22,000,000","$49,008,662","$28,221,033","$77,229,695",6.3
1241,Fame ,2009,Romance,PG,107,Metro-Goldwyn-Mayer (MGM),"$18,000,000","$22,455,510","$54,756,326","$77,211,836",6.6
1242,Mike and Dave Need Wedding Dates ,2016,Comedy,R,98,Twentieth Century Fox,"$33,000,000","$46,009,673","$31,058,573","$77,068,246",6.0
1243,Barbershop ,2002,Comedy,PG-13,102,Metro-Goldwyn-Mayer (MGM),"$12,000,000","$75,782,105","$1,281,819","$77,063,924",6.3
1244,Drive ,2011,Drama,R,100,FilmDistrict,"$15,000,000","$35,061,555","$41,915,111","$76,976,666",7.8
1245,"I, Frankenstein ",2014,Sci-Fi,PG-13,92,Lionsgate,"$65,000,000","$19,075,290","$57,725,889","$76,801,179",5.1
1246,United 93 ,2006,Drama,R,111,Universal Pictures,"$15,000,000","$31,483,450","$45,217,209","$76,700,659",7.6
1247,Coach Carter ,2005,Biography,PG-13,136,Paramount Pictures,"$30,000,000","$67,264,877","$9,404,677","$76,669,554",7.3
1248,The Ladykillers ,2004,Crime,R,104,Walt Disney Studios Motion Pictures,"$35,000,000","$39,799,191","$36,866,000","$76,665,191",6.2
1249,The Unborn ,2009,Thriller,PG-13,88,Universal Pictures,"$16,000,000","$42,670,410","$33,843,640","$76,514,050",4.7
1250,Bad Santa ,2003,Drama,R,92,Dimension Films,"$23,000,000","$60,060,328","$16,428,561","$76,488,889",7.1
1251,The Road to El Dorado ,2000,Comedy,PG,89,DreamWorks Distribution,"$95,000,000","$50,863,742","$25,568,985","$76,432,727",6.9
1252,Cold Pursuit ,2019,Thriller,R,119,Lionsgate,"$60,000,000","$32,138,862","$44,280,893","$76,419,755",6.2
1253,The Original Kings of Comedy ,2000,Documentary,R,115,Paramount Pictures,"$13,000,000","$38,182,790","$38,182,790","$76,365,580",6.8
1254,Kubo and the Two Strings ,2016,Family,PG,101,Focus Features,"$60,000,000","$48,023,088","$28,226,350","$76,249,438",7.7
1255,Diary of a Wimpy Kid ,2010,Comedy,PG,120,Twentieth Century Fox,"$15,000,000","$64,003,625","$12,192,913","$76,196,538",6.2
1256,There Will Be Blood ,2007,Drama,R,158,Paramount Vantage,"$25,000,000","$40,222,514","$35,959,031","$76,181,545",8.2
1257,The Mechanic ,2011,Action,R,93,CBS Films,"$40,000,000","$29,121,498","$47,008,595","$76,130,093",6.5
1258,The Pink Panther 2 ,2009,Family,PG,92,Sony Pictures Entertainment (SPE),"$70,000,000","$35,922,978","$40,102,156","$76,025,134",5.6
1259,Death Race ,2008,Thriller,R,105,Universal Pictures,"$45,000,000","$36,316,032","$39,698,303","$76,014,335",6.4
1260,Widows ,2018,Drama,R,129,Twentieth Century Fox,"$42,000,000","$42,402,632","$33,582,068","$75,984,700",6.8
1261,Revolutionary Road ,2008,Drama,R,119,Paramount Vantage,"$35,000,000","$22,911,480","$53,069,700","$75,981,180",7.3
1262,Sicario: Day of the Soldado ,2018,Crime,R,122,Sony Pictures Entertainment (SPE),"$35,000,000","$50,072,235","$25,765,508","$75,837,743",7.1
1263,A Dog's Journey ,2019,Adventure,PG,109,Universal Pictures,"$16,000,000","$22,782,371","$52,959,363","$75,741,734",7.4
1264,Dreamcatcher ,2003,Thriller,R,136,Warner Bros.,"$68,000,000","$33,715,436","$42,000,000","$75,715,436",5.5
1265,30 Days of Night ,2007,Action,R,113,Sony Pictures Entertainment (SPE),"$30,000,000","$39,569,000","$35,944,170","$75,513,170",6.6
1266,Stomp the Yard ,2007,Romance,PG-13,115,Screen Gems,"$13,000,000","$61,356,221","$14,154,902","$75,511,123",5.4
1267,The Change-Up ,2011,Comedy,R,112,Universal Pictures,"$52,000,000","$37,081,475","$38,368,962","$75,450,437",6.3
1268,The Count of Monte Cristo ,2002,Drama,PG-13,131,Walt Disney Studios Motion Pictures,"$35,000,000","$54,234,062","$21,160,986","$75,395,048",7.7
1269,The Spy Who Dumped Me ,2018,Action,R,117,Lionsgate,"$40,000,000","$33,562,069","$41,758,611","$75,320,680",6.0
1270,Dragon Wars: D-War ,2007,Thriller,PG-13,107,Freestyle Releasing,"$32,000,000","$10,977,721","$64,131,096","$75,108,817",3.5
1271,Larry Crowne ,2011,Romance,PG-13,98,Universal Pictures,"$30,000,000","$35,608,245","$39,446,825","$75,055,070",6.1
1272,Easy A ,2010,Romance,PG-13,92,Screen Gems,"$8,000,000","$58,401,464","$16,624,752","$75,026,216",7.0
1273,Boo! A Madea Halloween ,2016,Horror,PG-13,103,Lionsgate,"$20,000,000","$73,206,343","$1,621,001","$74,827,344",4.6
1274,A Madea Family Funeral ,2019,Drama,PG-13,109,Lionsgate,"$20,000,000","$73,257,045","$1,490,680","$74,747,725",4.7
1275,Crimson Peak ,2015,Thriller,R,119,Universal Pictures,"$55,000,000","$31,090,320","$43,589,502","$74,679,822",6.5
1276,Escape from Planet Earth ,2013,Comedy,PG,89,The Weinstein Company,"$40,000,000","$57,012,977","$17,584,666","$74,597,643",5.8
1277,Eternal Sunshine of the Spotless Mind ,2004,Drama,R,108,Focus Features,"$20,000,000","$34,400,301","$39,636,414","$74,036,715",8.3
1278,Miracles from Heaven ,2016,Drama,PG,109,TriStar Pictures,"$13,000,000","$61,705,123","$12,277,880","$73,983,003",7.1
1279,The Hurricane ,1999,Biography,R,146,Universal Pictures,"$50,000,000","$50,699,241","$23,257,000","$73,956,241",7.6
1280,Divine Secrets of the Ya-Ya Sisterhood ,2002,Drama,PG-13,116,Warner Bros.,"$27,000,000","$69,599,016","$4,240,224","$73,839,240",6.1
1281,Cats ,2019,Comedy,PG,110,Universal Pictures,"$95,000,000","$27,166,770","$46,666,689","$73,833,459",2.8
1282,Obsessed ,2009,Thriller,PG-13,108,Screen Gems,"$20,000,000","$68,261,644","$5,568,703","$73,830,347",5.0
1283,The Core ,2003,Action,PG-13,135,Paramount Pictures,"$60,000,000","$31,186,896","$42,311,715","$73,498,611",5.5
1284,Charlie's Angels ,2019,Action,PG-13,118,Sony Pictures Entertainment (SPE),"$48,000,000","$17,803,077","$55,476,811","$73,279,888",5.6
1285,War Room ,2015,Drama,PG,120,TriStar Pictures,"$3,000,000","$67,790,117","$5,477,757","$73,267,874",6.4
1286,Without a Paddle ,2004,Mystery,PG-13,95,Paramount Pictures,"$19,000,000","$58,169,327","$14,859,863","$73,029,190",5.8
1287,The Best Man Holiday ,2013,Comedy,R,123,Universal Pictures,"$17,000,000","$70,525,195","$2,310,515","$72,835,710",6.6
1288,Lady in the Water ,2006,Drama,PG-13,110,Warner Bros.,"$70,000,000","$42,285,169","$30,500,000","$72,785,169",5.5
1289,"Yours, Mine & Ours ",2005,Family,PG,88,Paramount Pictures,"$45,000,000","$53,412,862","$19,250,061","$72,662,923",5.5
1290,Lord of War ,2005,Drama,R,122,Lionsgate,"$50,000,000","$24,149,632","$48,467,436","$72,617,068",7.6
1291,Diary of a Wimpy Kid: Rodrick Rules ,2011,Comedy,PG,100,Twentieth Century Fox,"$21,000,000","$52,698,535","$19,828,461","$72,526,996",6.6
1292,Doctor Sleep ,2019,Thriller,R,152,Warner Bros.,"$45,000,000","$31,581,712","$40,800,000","$72,381,712",7.3
1293,Second Act ,2018,Drama,PG-13,103,STX Entertainment,"$16,000,000","$39,282,227","$33,000,000","$72,282,227",5.8
1294,What Men Want ,2019,Romance,R,117,Paramount Pictures,"$20,000,000","$54,611,903","$17,604,391","$72,216,294",5.4
1295,Around the World in 80 Days ,2004,Family,PG,120,Walt Disney Studios Motion Pictures,"$110,000,000","$24,008,137","$48,170,758","$72,178,895",5.9
1296,Babylon A.D. ,2008,Sci-Fi,PG-13,90,Twentieth Century Fox,"$70,000,000","$22,532,572","$49,576,628","$72,109,200",5.5
1297,Rules of Engagement ,2000,War,R,128,Paramount Pictures,"$60,000,000","$61,335,230","$10,397,073","$71,732,303",6.4
1298,Funny People ,2009,Drama,R,146,Universal Pictures,"$75,000,000","$51,855,045","$19,730,190","$71,585,235",6.3
1299,Run All Night ,2015,Crime,R,114,Warner Bros.,"$50,000,000","$26,461,644","$45,100,000","$71,561,644",6.6
1300,The Royal Tenenbaums ,2001,Comedy,R,110,Walt Disney Studios Motion Pictures,"$21,000,000","$52,364,010","$19,077,240","$71,441,250",7.6
1301,Brick Mansions ,2014,Crime,PG-13,90,Relativity Media,"$28,000,000","$20,396,829","$51,019,901","$71,416,730",5.6
1302,Holes ,2003,Family,PG,117,Walt Disney Studios Motion Pictures,"$20,000,000","$67,406,573","$4,000,000","$71,406,573",7.0
1303,The Counselor ,2013,Crime,R,117,Twentieth Century Fox,"$25,000,000","$16,973,715","$54,035,619","$71,009,334",5.4
1304,Anacondas: The Hunt for the Blood Orchid ,2004,Horror,PG-13,97,Screen Gems,"$20,000,000","$32,238,923","$38,753,975","$70,992,898",4.7
1305,Taxi ,2004,Crime,PG-13,97,Twentieth Century Fox,"$25,000,000","$36,611,066","$34,167,263","$70,778,329",7.0
1306,Brotherhood of the Wolf ,2002,Drama,R,142,Universal Pictures,"$29,000,000","$11,260,096","$59,492,808","$70,752,904",7.0
1307,The Grudge 2 ,2006,Thriller,PG-13,102,Sony Pictures Entertainment (SPE),"$20,000,000","$39,143,839","$31,567,336","$70,711,175",5.0
1308,Children of Men ,2006,Adventure,R,109,Universal Pictures,"$76,000,000","$35,552,383","$34,903,387","$70,455,770",7.9
1309,The House Bunny ,2008,Comedy,PG-13,97,Sony Pictures Entertainment (SPE),"$25,000,000","$48,237,389","$22,202,307","$70,439,696",5.5
1310,Think Like a Man Too ,2014,Comedy,PG-13,106,Screen Gems,"$24,000,000","$65,182,182","$4,999,246","$70,181,428",5.7
1311,A Cinderella Story ,2004,Comedy,PG,95,Warner Bros.,"$19,000,000","$51,438,175","$18,629,734","$70,067,909",5.9
1312,3:10 to Yuma ,2007,Western,R,122,Lionsgate,"$55,000,000","$53,606,916","$16,409,304","$70,016,220",7.6
1313,The Hills Have Eyes ,2006,Horror,R,107,Fox Searchlight Pictures,"$15,000,000","$41,778,863","$28,230,089","$70,008,952",6.4
1314,Curious George ,2006,Animation,,87,Universal Pictures,"$50,000,000","$58,360,760","$11,505,164","$69,865,924",6.5
1315,After ,2019,Romance,PG-13,105,Aviron Pictures,"$14,000,000","$12,138,565","$57,617,890","$69,756,455",5.3
1316,The Dilemma ,2011,Drama,PG-13,111,Universal Pictures,"$70,000,000","$48,475,290","$21,246,676","$69,721,966",5.3
1317,The Last Exorcism ,2010,Horror,PG-13,87,Lionsgate,"$1,800,000","$41,034,350","$28,398,177","$69,432,527",5.7
1318,A Very Long Engagement ,2004,Drama,R,133,Warner Independent Pictures (WIP),"$56,600,000","$6,524,389","$62,900,000","$69,424,389",7.6
1319,Playing with Fire ,2019,Comedy,PG,96,Paramount Pictures,"$29,900,000","$44,451,847","$24,960,578","$69,412,425",5.1
1320,13 Hours ,2016,History,R,144,Paramount Pictures,"$50,000,000","$52,853,219","$16,558,151","$69,411,370",7.3
1321,The X Files: I Want to Believe ,2008,Crime,PG-13,104,Twentieth Century Fox,"$30,000,000","$20,982,478","$48,380,903","$69,363,381",5.9
1322,Finding Nemo ,2012,Adventure,,100,Walt Disney Studios Motion Pictures,"$94,000,000","$41,128,283","$28,200,000","$69,328,283",8.2
1323,E.T. the Extra-Terrestrial ,2002,Sci-Fi,PG,115,Universal Pictures,"$10,500,000","$35,306,015","$33,871,736","$69,177,751",7.9
1324,The Men Who Stare at Goats ,2009,War,R,94,Overture Films,"$25,000,000","$32,428,195","$36,667,576","$69,095,771",6.2
1325,Takers ,2010,Thriller,PG-13,107,Screen Gems,"$32,000,000","$57,744,720","$11,310,975","$69,055,695",6.2
1326,John Tucker Must Die ,2006,Romance,PG-13,89,Twentieth Century Fox,"$18,000,000","$41,011,711","$27,833,064","$68,844,775",5.7
1327,Land of the Lost ,2009,Adventure,PG-13,102,Universal Pictures,"$100,000,000","$49,438,370","$19,339,184","$68,777,554",5.3
1328,House of Wax ,2005,Thriller,R,113,Warner Bros.,"$40,000,000","$32,064,800","$36,701,321","$68,766,121",5.5
1329,The Nut Job 2: Nutty by Nature ,2017,Animation,PG,91,Open Road Films (II),"$40,000,000","$28,370,522","$40,372,963","$68,743,485",5.5
1330,The Sweetest Thing ,2002,Comedy,R,84,Sony Pictures Entertainment (SPE),"$43,000,000","$24,718,164","$43,978,606","$68,696,770",5.2
1331,Letters from Iwo Jima ,2006,History,R,141,Warner Bros.,"$19,000,000","$13,756,082","$54,917,146","$68,673,228",7.8
1332,The Call ,2013,Drama,R,96,TriStar Pictures,"$13,000,000","$51,872,378","$16,700,253","$68,572,631",6.7
1333,One Direction: This Is Us ,2013,Music,PG,92,TriStar Pictures,"$10,000,000","$28,873,374","$39,659,524","$68,532,898",4.3
1334,Looney Tunes: Back in Action ,2003,Adventure,PG,93,Warner Bros.,"$80,000,000","$20,991,364","$47,523,480","$68,514,844",5.8
1335,Pokémon 3 the Movie: Spell of the Unown ,2001,Adventure,G,93,Warner Bros.,"$16,000,000","$17,052,128","$51,359,147","$68,411,275",5.8
1336,Ghost Ship ,2002,Horror,R,91,Warner Bros.,"$20,000,000","$30,113,491","$38,236,393","$68,349,884",5.6
1337,Open Range ,2003,Action,R,139,Walt Disney Studios Motion Pictures,"$22,000,000","$58,331,254","$9,965,039","$68,296,293",7.4
1338,The Watch ,2012,Comedy,R,102,Twentieth Century Fox,"$68,000,000","$35,353,000","$32,914,862","$68,267,862",5.7
1339,Moonrise Kingdom ,2012,Drama,PG-13,94,Focus Features,"$16,000,000","$45,512,466","$22,750,700","$68,263,166",7.8
1340,Saw VI ,2009,Mystery,R,90,Lionsgate,"$11,000,000","$27,693,292","$40,540,862","$68,234,154",6.0
1341,Prime ,2005,Romance,PG-13,105,Universal Pictures,"$22,000,000","$22,827,153","$45,110,341","$67,937,494",6.2
1342,Legion ,2010,Fantasy,R,100,Screen Gems,"$26,000,000","$40,168,080","$27,750,578","$67,918,658",5.3
1343,The American ,2010,Crime,R,105,Focus Features,"$20,000,000","$35,606,376","$32,269,905","$67,876,281",6.3
1344,A Beautiful Day in the Neighborhood ,2019,Biography,PG,109,Sony Pictures Entertainment (SPE),"$25,000,000","$61,704,055","$6,056,822","$67,760,877",7.2
1345,Jersey Boys ,2014,Music,R,134,Warner Bros.,"$40,000,000","$47,047,013","$20,600,000","$67,647,013",6.8
1346,The Next Three Days ,2010,Romance,PG-13,133,Lionsgate,"$30,000,000","$21,148,651","$46,300,000","$67,448,651",7.3
1347,Star Trek: Nemesis ,2002,Adventure,PG-13,116,Paramount Pictures,"$60,000,000","$43,254,409","$24,082,061","$67,336,470",6.4
1348,American Assassin ,2017,Action,R,111,Lionsgate,"$33,000,000","$36,249,674","$30,984,514","$67,234,188",6.2
1349,Boogeyman ,2005,Drama,PG-13,89,Screen Gems,"$20,000,000","$46,752,382","$20,440,477","$67,192,859",4.2
1350,War ,2019,Adventure,,154,Yash Raj Films,"$21,000,000","$4,654,000","$62,525,155","$67,179,155",6.2
1351,When a Stranger Calls ,2006,Thriller,PG-13,87,Screen Gems,"$15,000,000","$47,860,214","$19,201,909","$67,062,123",5.1
1352,Skyline ,2010,Thriller,PG-13,92,Universal Pictures,"$10,000,000","$21,393,620","$45,591,267","$66,984,887",4.5
1353,The Giver ,2014,Romance,PG-13,97,The Weinstein Company,"$25,000,000","$45,090,374","$21,890,082","$66,980,456",6.4
1354,Madea's Witness Protection ,2012,Drama,PG-13,114,Lionsgate,"$20,000,000","$65,653,242","$1,246,000","$66,899,242",4.9
1355,Selma ,2014,History,PG-13,128,Paramount Pictures,"$20,000,000","$52,076,908","$14,711,000","$66,787,908",7.5
1356,Thirteen Days ,2001,Drama,PG-13,145,New Line Cinema,"$80,000,000","$34,592,089","$31,987,801","$66,579,890",7.3
1357,Street Kings ,2008,Thriller,R,109,Fox Searchlight Pictures,"$20,000,000","$26,418,667","$40,057,696","$66,476,363",6.8
1358,Not Another Teen Movie ,2001,Comedy,R,89,Sony Pictures Entertainment (SPE),"$15,000,000","$38,252,284","$28,216,048","$66,468,332",5.8
1359,"Love, Simon ",2018,Drama,PG-13,110,Twentieth Century Fox,"$17,000,000","$40,826,341","$25,489,948","$66,316,289",7.5
1360,Mile 22 ,2018,Action,R,94,STX Entertainment,"$50,000,000","$36,108,758","$30,200,000","$66,308,758",6.1
1361,Barbershop 2: Back in Business ,2004,Drama,PG-13,106,Metro-Goldwyn-Mayer (MGM),"$30,000,000","$65,111,277","$880,171","$65,991,448",5.7
1362,Bad Company ,2002,Comedy,PG-13,116,Walt Disney Studios Motion Pictures,"$70,000,000","$30,160,161","$35,817,134","$65,977,295",5.6
1363,Flags of Our Fathers ,2006,Action,R,135,DreamWorks,"$90,000,000","$33,602,376","$32,297,873","$65,900,249",7.1
1364,K-19: The Widowmaker ,2002,Drama,PG-13,138,Paramount Pictures,"$100,000,000","$35,168,966","$30,547,160","$65,716,126",6.7
1365,Taking Lives ,2004,Thriller,R,103,Warner Bros.,"$45,000,000","$32,682,342","$32,788,187","$65,470,529",6.2
1366,Moonlight ,2016,Drama,R,111,A24,"$4,000,000","$27,854,932","$37,481,671","$65,336,603",7.4
