,title_without_year,year,main_genre,MPAA-Rating,Runtime,Distributor,Budget_$,Domestic_$,International_$,total_revenue_$
1375,What Happens in Vegas ,2008,Comedy,PG-13,99,Twentieth Century Fox,"$35,000,000","$80,277,646","$139,097,916","$219,375,562"
1583,It's Complicated ,2009,Comedy,R,121,Universal Pictures,"$85,000,000","$112,735,375","$106,368,280","$219,103,655"
2038,Jack Reacher ,2012,Action,PG-13,130,Paramount Pictures,"$60,000,000","$80,070,736","$138,269,859","$218,340,595"
900,Kingdom of Heaven ,2005,History,R,144,Twentieth Century Fox,"$130,000,000","$47,398,413","$170,724,214","$218,122,627"
2798,The Emoji Movie ,2017,Animation,PG,86,Sony Pictures Entertainment (SPE),"$50,000,000","$86,089,513","$131,687,133","$217,776,646"
2618,Central Intelligence ,2016,Crime,PG-13,107,Warner Bros.,"$50,000,000","$127,440,871","$89,531,672","$216,972,543"
861,Million Dollar Baby ,2004,Sport,PG-13,132,Warner Bros.,"$30,000,000","$100,492,203","$116,271,443","$216,763,646"
1826,The Help ,2011,Drama,PG-13,146,Walt Disney Studios Motion Pictures,"$25,000,000","$169,708,112","$46,931,000","$216,639,112"
203,Little Women ,2019,Romance,PG,135,Sony Pictures Entertainment (SPE),"$40,000,000","$108,101,214","$108,500,000","$216,601,214"
1689,Valentine's Day ,2010,Romance,PG-13,125,Warner Bros.,"$52,000,000","$110,485,654","$106,000,000","$216,485,654"
1842,Bad Teacher ,2011,Romance,R,92,Sony Pictures Entertainment (SPE),"$20,000,000","$100,292,856","$115,904,636","$216,197,492"
2473,Ted 2 ,2015,Comedy,R,115,Universal Pictures,"$68,000,000","$81,476,385","$134,387,221","$215,863,606"
239,Vertical Limit ,2000,Adventure,PG-13,124,Sony Pictures Entertainment (SPE),"$75,000,000","$69,243,859","$146,420,000","$215,663,859"
210,The Patriot ,2000,Action,R,165,Sony Pictures Entertainment (SPE),"$110,000,000","$113,330,342","$101,964,000","$215,294,342"
1713,The Sorcerer's Apprentice ,2010,Adventure,PG,109,Walt Disney Studios Motion Pictures,"$150,000,000","$63,150,991","$152,132,751","$215,283,742"
1841,Just Go with It ,2011,Comedy,PG-13,117,Sony Pictures Entertainment (SPE),"$80,000,000","$103,028,109","$111,917,482","$214,945,591"
1543,Public Enemies ,2009,History,R,140,Universal Pictures,"$100,000,000","$97,104,620","$117,000,000","$214,104,620"
384,The Bourne Identity ,2002,Mystery,PG-13,119,Universal Pictures,"$60,000,000","$121,661,683","$92,372,541","$214,034,224"
282,"Crouching Tiger, Hidden Dragon ",2000,Adventure,PG-13,120,Sony Pictures Classics,"$17,000,000","$128,078,872","$85,446,864","$213,525,736"
2332,Into the Woods ,2014,Musical,PG,125,Walt Disney Studios Motion Pictures,"$50,000,000","$128,002,372","$84,900,000","$212,902,372"
1394,Bedtime Stories ,2008,Fantasy,PG,99,Walt Disney Studios Motion Pictures,"$80,000,000","$110,101,975","$102,772,889","$212,874,864"
244,Miss Congeniality ,2000,Crime,PG-13,109,Warner Bros.,"$45,000,000","$106,807,667","$105,935,053","$212,742,720"
2693,Bridget Jones's Baby ,2016,Comedy,R,123,Universal Pictures,"$35,000,000","$24,252,420","$187,700,000","$211,952,420"
1850,Battle Los Angeles ,2011,Sci-Fi,PG-13,116,Sony Pictures Entertainment (SPE),"$70,000,000","$83,552,429","$128,266,925","$211,819,354"
1403,Australia ,2008,War,PG-13,165,Twentieth Century Fox,"$130,000,000","$49,554,002","$162,233,509","$211,787,511"
550,Master and Commander: The Far Side of the World ,2003,Action,PG-13,138,Twentieth Century Fox,"$150,000,000","$93,927,920","$117,694,615","$211,622,535"
709,A Series of Unfortunate Events ,2004,Family,PG,108,Paramount Pictures,"$140,000,000","$118,634,549","$92,833,686","$211,468,235"
1538,District 9 ,2009,Action,R,112,TriStar Pictures,"$30,000,000","$115,646,235","$95,242,715","$210,888,950"
304,The Others ,2001,Horror,PG-13,101,Miramax,"$17,000,000","$96,522,687","$113,424,350","$209,947,037"
1837,Horrible Bosses ,2011,Comedy,R,98,Warner Bros.,"$35,000,000","$117,538,559","$92,300,000","$209,838,559"
2468,Tomorrowland ,2015,Action,PG,130,Walt Disney Studios Motion Pictures,"$190,000,000","$93,436,322","$115,599,346","$209,035,668"
1992,Safe House ,2012,Thriller,R,115,Universal Pictures,"$85,000,000","$126,373,434","$81,702,771","$208,076,205"
536,S.W.A.T. ,2003,Crime,PG-13,117,Sony Pictures Entertainment (SPE),"$80,000,000","$116,934,650","$90,790,989","$207,725,639"
297,The Fast and the Furious ,2001,Thriller,PG-13,106,Universal Pictures,"$38,000,000","$144,533,925","$62,750,000","$207,283,925"
1840,Paranormal Activity 3 ,2011,Horror,R,83,Paramount Pictures,"$5,000,000","$104,028,807","$103,011,037","$207,039,844"
286,Sleepy Hollow ,1999,Mystery,R,105,Paramount Pictures,"$100,000,000","$101,071,502","$105,000,000","$206,071,502"
1064,The Holiday ,2006,Comedy,PG-13,136,Sony Pictures Entertainment (SPE),"$85,000,000","$63,224,849","$142,617,036","$205,841,885"
2646,London Has Fallen ,2016,Action,R,99,Focus Features,"$60,000,000","$62,524,260","$143,230,187","$205,754,447"
1022,The Break-Up ,2006,Comedy,PG-13,106,Universal Pictures,"$52,000,000","$118,703,275","$86,964,935","$205,668,210"
2171,White House Down ,2013,Action,PG-13,131,Sony Pictures Entertainment (SPE),"$150,000,000","$73,103,784","$132,262,953","$205,366,737"
1547,The Ugly Truth ,2009,Comedy,R,96,Sony Pictures Entertainment (SPE),"$38,000,000","$88,915,214","$116,383,693","$205,298,907"
2805,A Dog's Purpose ,2017,Comedy,PG,100,Universal Pictures,"$22,000,000","$64,508,620","$140,527,199","$205,035,819"
888,Fun with Dick and Jane ,2005,Crime,PG-13,90,Sony Pictures Entertainment (SPE),"$100,000,000","$110,332,737","$94,349,162","$204,681,899"
1703,Eat Pray Love ,2010,Biography,PG-13,133,Sony Pictures Entertainment (SPE),"$60,000,000","$80,574,010","$124,020,006","$204,594,016"
1368,You Don't Mess with the Zohan ,2008,Comedy,PG-13,113,Sony Pictures Entertainment (SPE),"$90,000,000","$100,018,837","$104,294,563","$204,313,400"
738,King Arthur ,2004,Action,PG-13,126,Walt Disney Studios Motion Pictures,"$120,000,000","$51,882,244","$151,685,613","$203,567,857"
1724,Yogi Bear ,2010,Comedy,PG,81,Warner Bros.,"$80,000,000","$100,246,011","$103,263,363","$203,509,374"
2501,Everest ,2015,Action,PG-13,121,Universal Pictures,"$55,000,000","$43,482,270","$159,945,314","$203,427,584"
315,Vanilla Sky ,2001,Sci-Fi,R,136,Paramount Pictures,"$68,000,000","$100,618,344","$102,769,997","$203,388,341"
2627,Arrival ,2016,Sci-Fi,PG-13,116,Paramount Pictures,"$47,000,000","$100,546,139","$102,842,047","$203,388,186"
2357,Need for Speed ,2014,Action,PG-13,132,Walt Disney Studios Motion Pictures,"$66,000,000","$43,577,636","$159,700,000","$203,277,636"
716,Garfield ,2004,Comedy,PG,80,Twentieth Century Fox,"$50,000,000","$75,369,589","$127,802,828","$203,172,417"
3127,The Addams Family ,2019,Horror,PG,86,United Artists Releasing,"$24,000,000","$100,044,905","$103,000,000","$203,044,905"
201,Birds of Prey ,2020,Action,R,109,Warner Bros.,"$84,500,000","$84,158,461","$117,700,000","$201,858,461"
2458,Straight Outta Compton ,2015,Biography,R,147,Universal Pictures,"$28,000,000","$161,197,785","$40,437,206","$201,634,991"
1989,21 Jump Street ,2012,Comedy,R,109,Sony Pictures Entertainment (SPE),"$42,000,000","$138,447,667","$63,137,661","$201,585,328"
1028,Open Season ,2006,Fantasy,PG,86,Sony Pictures Entertainment (SPE),"$85,000,000","$85,105,259","$115,706,430","$200,811,689"
306,Cats & Dogs ,2001,Family,PG,87,Warner Bros.,"$60,000,000","$93,385,515","$107,301,977","$200,687,492"
2176,Percy Jackson: Sea of Monsters ,2013,Adventure,PG,106,Twentieth Century Fox,"$90,000,000","$68,559,554","$131,290,761","$199,850,315"
412,Two Weeks Notice ,2002,Comedy,PG-13,101,Warner Bros.,"$60,000,000","$93,354,851","$105,688,391","$199,043,242"
1699,RED ,2010,Action,PG-13,111,Summit Entertainment,"$58,000,000","$90,380,162","$108,626,225","$199,006,387"
859,The Pacifier ,2005,Action,PG,95,Walt Disney Studios Motion Pictures,"$56,000,000","$113,086,868","$85,550,000","$198,636,868"
2021,Total Recall ,2012,Action,PG-13,118,Sony Pictures Entertainment (SPE),"$125,000,000","$58,877,969","$139,589,199","$198,467,168"
2962,Christopher Robin ,2018,Comedy,PG,104,Walt Disney Studios Motion Pictures,"$75,000,000","$99,215,042","$98,529,335","$197,744,377"
2180,Jack the Giant Slayer ,2013,Fantasy,PG-13,114,Warner Bros.,"$195,000,000","$65,187,603","$132,500,000","$197,687,603"
2819,Smurfs: The Lost Village ,2017,Adventure,PG,90,Sony Pictures Entertainment (SPE),"$60,000,000","$45,020,282","$152,163,264","$197,183,546"
537,Spy Kids 3-D: Game Over ,2003,Action,PG,84,Dimension Films,"$38,000,000","$111,761,982","$85,250,000","$197,011,982"
2322,The Other Woman ,2014,Comedy,PG-13,109,Twentieth Century Fox,"$40,000,000","$83,911,193","$112,799,203","$196,710,396"
389,Panic Room ,2002,Thriller,R,112,Sony Pictures Entertainment (SPE),"$48,000,000","$96,397,334","$100,000,081","$196,397,415"
1206,Beowulf ,2007,Adventure,PG-13,115,Paramount Pictures,"$150,000,000","$82,280,579","$114,113,166","$196,393,745"
1993,The Vow ,2012,Romance,PG-13,104,Screen Gems,"$30,000,000","$125,014,030","$71,100,540","$196,114,570"
531,Anger Management ,2003,Comedy,PG-13,106,Revolution Studios,"$75,000,000","$135,645,823","$60,100,000","$195,745,823"
1362,Tropic Thunder ,2008,Action,R,107,DreamWorks,"$92,000,000","$110,515,313","$85,187,498","$195,702,811"
2652,The BFG ,2016,Family,PG,117,Walt Disney Studios Motion Pictures,"$140,000,000","$55,483,770","$139,759,641","$195,243,411"
887,Wallace & Gromit: The Curse of the Were-Rabbit ,2005,Family,,85,DreamWorks Distribution,"$30,000,000","$56,110,897","$138,000,274","$194,111,171"
385,The Sum of All Fears ,2002,War,PG-13,124,Paramount Pictures,"$68,000,000","$118,907,036","$75,014,336","$193,921,372"
1540,Paranormal Activity ,2009,Mystery,R,86,Paramount Pictures,"$15,000","$107,918,810","$85,436,990","$193,355,800"
2314,The Equalizer ,2014,Thriller,R,132,Sony Pictures Entertainment (SPE),"$55,000,000","$101,530,738","$90,800,000","$192,330,738"
3125,The Lego Movie 2: The Second Part ,2019,Action,PG,107,Warner Bros.,"$99,000,000","$105,806,508","$86,500,000","$192,306,508"
855,The Longest Yard ,2005,Sport,PG-13,113,Paramount Pictures,"$82,000,000","$158,119,460","$33,347,096","$191,466,556"
2958,The Equalizer 2 ,2018,Crime,R,121,Sony Pictures Entertainment (SPE),"$62,000,000","$102,084,362","$88,315,795","$190,400,157"
219,Hollow Man ,2000,Thriller,R,112,Sony Pictures Entertainment (SPE),"$95,000,000","$73,209,340","$117,004,115","$190,213,455"
569,Cheaper by the Dozen ,2003,Comedy,PG,98,Twentieth Century Fox,"$40,000,000","$138,614,544","$51,597,569","$190,212,113"
2204,12 Years a Slave ,2013,Biography,R,134,Fox Searchlight Pictures,"$20,000,000","$56,671,993","$131,061,209","$187,733,202"
1862,Mr. Popper's Penguins ,2011,Family,PG,94,Twentieth Century Fox,"$55,000,000","$68,224,452","$119,137,302","$187,361,754"
701,The Grudge ,2004,Horror,PG-13,91,Sony Pictures Entertainment (SPE),"$10,000,000","$110,359,362","$76,921,753","$187,281,115"
1195,I Now Pronounce You Chuck & Larry ,2007,Comedy,PG-13,115,Universal Pictures,"$85,000,000","$120,059,556","$67,074,561","$187,134,117"
862,Walk the Line ,2005,Music,PG-13,136,Twentieth Century Fox,"$28,000,000","$119,519,402","$67,278,584","$186,797,986"
1560,The Final Destination ,2009,Thriller,R,82,Warner Bros.,"$40,000,000","$66,477,700","$119,689,439","$186,167,139"
308,Atlantis: The Lost Empire ,2001,Sci-Fi,PG,95,Walt Disney Studios Motion Pictures,"$120,000,000","$84,056,472","$101,997,253","$186,053,725"
1027,Inside Man ,2006,Crime,R,129,Universal Pictures,"$45,000,000","$88,513,495","$97,490,096","$186,003,591"
1846,The Lion King ,2011,Animation,G,88,Walt Disney Studios Motion Pictures,"$45,000,000","$94,242,001","$91,300,000","$185,542,001"
2806,Pitch Perfect 3 ,2017,Comedy,PG-13,93,Universal Pictures,"$45,000,000","$104,897,530","$80,502,815","$185,400,345"
1541,Watchmen ,2009,Mystery,R,162,Warner Bros.,"$130,000,000","$107,509,799","$77,873,014","$185,382,813"
1839,Hop ,2011,Comedy,PG,95,Universal Pictures,"$63,000,000","$108,085,305","$75,868,418","$183,953,723"
2621,Bad Moms ,2016,Comedy,R,100,STX Entertainment,"$20,000,000","$113,257,297","$70,678,777","$183,936,074"
2496,Jupiter Ascending ,2015,Sci-Fi,PG-13,127,Warner Bros.,"$176,000,000","$47,387,723","$136,500,000","$183,887,723"
1548,Knowing ,2009,Sci-Fi,PG-13,121,Summit Entertainment,"$50,000,000","$79,957,634","$103,700,864","$183,658,498"
234,102 Dalmatians ,2000,Comedy,,100,Walt Disney Studios Motion Pictures,"$85,000,000","$66,957,026","$116,654,745","$183,611,771"
2638,Storks ,2016,Family,PG,87,Warner Bros.,"$70,000,000","$72,679,278","$110,709,675","$183,388,953"
1529,Paul Blart: Mall Cop ,2009,Action,PG,91,Sony Pictures Entertainment (SPE),"$26,000,000","$146,336,178","$37,012,251","$183,348,429"
2014,Mirror Mirror ,2012,Adventure,PG,106,Relativity Media,"$85,000,000","$64,935,167","$118,083,355","$183,018,522"
557,The Haunted Mansion ,2003,Fantasy,PG,99,Walt Disney Studios Motion Pictures,"$90,000,000","$75,847,266","$106,443,000","$182,290,266"
1050,Poseidon ,2006,Thriller,PG-13,98,Warner Bros.,"$160,000,000","$60,674,817","$121,000,000","$181,674,817"
555,Kill Bill: Vol. 1 ,2003,Action,R,111,Miramax,"$30,000,000","$70,099,045","$110,800,000","$180,899,045"
383,Sweet Home Alabama ,2002,Romance,PG-13,108,Walt Disney Studios Motion Pictures,"$30,000,000","$127,223,418","$53,399,006","$180,622,424"
2793,Daddy's Home 2 ,2017,Comedy,PG-13,100,Paramount Pictures,"$69,000,000","$104,029,443","$76,583,737","$180,613,180"
2643,Hacksaw Ridge ,2016,War,R,139,Lionsgate,"$40,000,000","$67,209,615","$113,354,021","$180,563,636"
1048,Deja Vu ,2006,Sci-Fi,PG-13,126,Walt Disney Studios Motion Pictures,"$75,000,000","$64,038,616","$116,518,934","$180,557,550"
2965,The Post ,2017,Drama,PG-13,116,Twentieth Century Fox,"$50,000,000","$81,903,458","$97,865,999","$179,769,457"
2020,The Dictator ,2012,Comedy,R,83,Paramount Pictures,"$65,000,000","$59,650,222","$119,729,311","$179,379,533"
559,The League of Extraordinary Gentlemen ,2003,Fantasy,PG-13,110,Twentieth Century Fox,"$78,000,000","$66,465,204","$112,800,000","$179,265,204"
321,Moulin Rouge! ,2001,Musical,PG-13,127,Twentieth Century Fox,"$50,000,000","$57,386,607","$121,826,827","$179,213,434"
544,Daredevil ,2003,Action,PG-13,103,Twentieth Century Fox,"$78,000,000","$102,543,518","$76,636,200","$179,179,718"
3141,Abominable ,2019,Adventure,PG,97,Universal Pictures,"$75,000,000","$60,716,390","$118,337,566","$179,053,956"
391,The Scorpion King ,2002,Fantasy,PG-13,92,Universal Pictures,"$60,000,000","$91,047,077","$87,752,231","$178,799,308"
1366,Eagle Eye ,2008,Action,PG-13,118,DreamWorks,"$80,000,000","$101,440,743","$77,326,640","$178,767,383"
706,Along Came Polly ,2004,Comedy,PG-13,90,Universal Pictures,"$42,000,000","$88,097,164","$90,214,565","$178,311,729"
1047,Flushed Away ,2006,Family,PG,85,DreamWorks,"$149,000,000","$64,665,672","$113,615,882","$178,281,554"
1025,Scary Movie 4 ,2006,Comedy,PG-13,83,Dimension Films,"$45,000,000","$90,710,620","$87,552,000","$178,262,620"
2808,Baywatch ,2017,Action,R,116,Paramount Pictures,"$69,000,000","$58,060,186","$119,796,565","$177,856,751"
295,Double Jeopardy ,1999,Thriller,R,105,Paramount Pictures,"$70,000,000","$116,741,558","$61,100,000","$177,841,558"
1903,War Horse ,2011,Adventure,PG-13,146,Walt Disney Studios Motion Pictures,"$66,000,000","$79,884,879","$97,700,000","$177,584,879"
1701,Paranormal Activity 2 ,2010,Horror,R,91,Paramount Pictures,"$3,000,000","$84,752,907","$92,759,125","$177,512,032"
713,Alien vs. Predator ,2004,Sci-Fi,PG-13,101,Twentieth Century Fox,"$60,000,000","$80,282,231","$97,144,859","$177,427,090"
737,Hero ,2004,Action,PG-13,120,Miramax,"$31,000,000","$53,710,019","$123,685,538","$177,395,557"
860,The 40-Year-Old Virgin ,2005,Romance,R,116,Universal Pictures,"$26,000,000","$109,449,237","$67,929,408","$177,378,645"
1707,The A-Team ,2010,Thriller,PG-13,117,Twentieth Century Fox,"$110,000,000","$77,222,099","$100,016,697","$177,238,796"
2801,The Hitman's Bodyguard ,2017,Crime,R,118,Lionsgate,"$30,000,000","$75,468,583","$101,118,118","$176,586,701"
2011,Looper ,2012,Action,R,113,TriStar Pictures,"$30,000,000","$66,486,205","$110,020,614","$176,506,819"
301,Dr. Dolittle 2 ,2001,Comedy,PG,87,Twentieth Century Fox,"$70,000,000","$112,952,899","$63,151,445","$176,104,344"
540,The Italian Job ,2003,Crime,PG-13,111,Paramount Pictures,"$60,000,000","$106,128,601","$69,941,570","$176,070,171"
1371,The Bucket List ,2007,Adventure,PG-13,97,Warner Bros.,"$45,000,000","$93,466,502","$81,906,000","$175,372,502"
1843,Cowboys & Aliens ,2011,Western,PG-13,119,Universal Pictures,"$163,000,000","$100,240,551","$74,581,774","$174,822,325"
2975,The Mule ,2018,Crime,R,116,Warner Bros.,"$50,000,000","$103,804,407","$71,000,000","$174,804,407"
1201,Evan Almighty ,2007,Family,PG,96,Universal Pictures,"$175,000,000","$100,462,298","$73,978,426","$174,440,724"
2147,Identity Thief ,2013,Crime,R,111,Universal Pictures,"$35,000,000","$134,506,920","$39,458,090","$173,965,010"
2981,The Nutcracker and the Four Realms ,2018,Family,PG,99,Walt Disney Studios Motion Pictures,"$120,000,000","$54,858,851","$119,102,218","$173,961,069"
208,Big Momma's House ,2000,Comedy,PG-13,99,Twentieth Century Fox,"$30,000,000","$117,559,438","$56,400,000","$173,959,438"
1899,In Time ,2011,Sci-Fi,PG-13,109,Twentieth Century Fox,"$40,000,000","$37,520,095","$136,410,501","$173,930,596"
358,Amélie ,2002,Romance,R,122,Miramax,"$10,000,000","$33,225,499","$140,696,455","$173,921,954"
2467,Creed ,2015,Sport,PG-13,133,Warner Bros.,"$35,000,000","$109,767,581","$63,800,000","$173,567,581"
3151,Gemini Man ,2019,Action,PG-13,117,Paramount Pictures,"$138,000,000","$48,546,770","$124,922,746","$173,469,516"
2636,The Girl on the Train ,2016,Thriller,R,112,Universal Pictures,"$45,000,000","$75,395,035","$97,790,824","$173,185,859"
611,Cold Mountain ,2003,War,R,154,Miramax,"$79,000,000","$95,636,509","$77,377,000","$173,013,509"
387,Black Hawk Down ,2001,History,R,144,Revolution Studios,"$92,000,000","$108,638,745","$64,350,906","$172,989,651"
2337,The Grand Budapest Hotel ,2014,Crime,R,99,Fox Searchlight Pictures,"$25,000,000","$59,301,324","$113,635,617","$172,936,941"
379,The Santa Clause 2 ,2002,Family,,104,Walt Disney Studios Motion Pictures,"$65,000,000","$139,236,327","$33,618,738","$172,855,065"
1377,Cloverfield ,2008,Sci-Fi,PG-13,85,Paramount Pictures,"$25,000,000","$80,048,433","$92,345,747","$172,394,180"
1539,Couples Retreat ,2009,Comedy,PG-13,113,Universal Pictures,"$70,000,000","$109,204,945","$62,639,895","$171,844,840"
1688,Jackass 3D ,2010,Comedy,R,95,Paramount Pictures,"$20,000,000","$117,229,692","$54,456,100","$171,685,792"
3172,Spies in Disguise ,2019,Sci-Fi,PG,102,Twentieth Century Fox,"$100,000,000","$66,757,013","$104,859,751","$171,616,764"
2164,Anchorman 2: The Legend Continues ,2013,Comedy,PG-13,119,Paramount Pictures,"$50,000,000","$125,168,368","$46,296,308","$171,464,676"
382,Mr. Deeds ,2002,Comedy,PG-13,96,Sony Pictures Entertainment (SPE),"$50,000,000","$126,293,452","$44,976,083","$171,269,535"
1194,Superbad ,2007,Comedy,R,113,Sony Pictures Entertainment (SPE),"$20,000,000","$121,463,226","$49,349,300","$170,812,526"
1685,The Other Guys ,2010,Comedy,PG-13,107,Sony Pictures Entertainment (SPE),"$100,000,000","$119,219,978","$51,238,944","$170,458,922"
2160,Olympus Has Fallen ,2013,Action,R,119,FilmDistrict,"$70,000,000","$98,925,640","$71,344,561","$170,270,201"
705,Starsky & Hutch ,2004,Crime,PG-13,101,Warner Bros.,"$60,000,000","$88,237,754","$82,030,996","$170,268,750"
735,Shall We Dance ,2004,Music,PG-13,106,Miramax,"$50,000,000","$57,890,460","$112,238,000","$170,128,460"
403,Stuart Little 2 ,2002,Animation,PG,77,Sony Pictures Entertainment (SPE),"$120,000,000","$64,956,806","$105,000,000","$169,956,806"
1853,Zookeeper ,2011,Romance,PG,102,Sony Pictures Entertainment (SPE),"$80,000,000","$80,360,843","$89,491,916","$169,852,759"
2319,Dumb and Dumber To ,2014,Comedy,PG-13,109,Universal Pictures,"$40,000,000","$86,208,010","$83,629,000","$169,837,010"
2825,Ghost in the Shell ,2017,Crime,PG-13,107,Paramount Pictures,"$110,000,000","$40,563,557","$129,238,364","$169,801,921"
1401,Seven Pounds ,2008,Drama,PG-13,123,Sony Pictures Entertainment (SPE),"$55,000,000","$69,951,824","$99,797,105","$169,748,929"
247,The Emperor's New Groove ,2000,Animation,,78,Walt Disney Studios Motion Pictures,"$100,000,000","$89,302,687","$80,025,000","$169,327,687"
699,Dodgeball: A True Underdog Story ,2004,Comedy,PG-13,92,Twentieth Century Fox,"$20,000,000","$114,326,736","$54,096,491","$168,423,227"
1379,Hellboy II: The Golden Army ,2008,Sci-Fi,PG-13,120,Universal Pictures,"$85,000,000","$75,986,503","$92,332,740","$168,319,243"
2973,Insidious: The Last Key ,2018,Thriller,PG-13,103,Universal Pictures,"$10,000,000","$67,745,330","$100,140,258","$167,885,588"
2488,Fantastic Four ,2015,Sci-Fi,PG-13,100,Twentieth Century Fox,"$120,000,000","$56,117,548","$111,765,333","$167,882,881"
1706,Unstoppable ,2010,Thriller,PG-13,98,Twentieth Century Fox,"$100,000,000","$81,562,942","$86,242,524","$167,805,466"
1591,Up in the Air ,2009,Romance,R,109,Paramount Pictures,"$25,000,000","$83,823,381","$83,019,358","$166,842,739"
206,Nutty Professor II: the Klumps ,2000,Sci-Fi,PG-13,106,Universal Pictures,"$84,000,000","$123,309,890","$43,030,000","$166,339,890"
2479,Bridge of Spies ,2015,History,PG-13,142,Walt Disney Studios Motion Pictures,"$40,000,000","$72,313,754","$93,164,594","$165,478,348"
303,The Princess Diaries ,2001,Family,G,111,Walt Disney Studios Motion Pictures,"$26,000,000","$108,248,956","$57,086,197","$165,335,153"
1852,The Muppets ,2011,Family,PG,120,Walt Disney Studios Motion Pictures,"$45,000,000","$88,631,237","$76,553,000","$165,184,237"
2659,The Huntsman: Winter's War ,2016,Adventure,PG-13,114,Universal Pictures,"$115,000,000","$48,390,190","$116,599,148","$164,989,338"
1032,Saw III ,2006,Thriller,R,108,Lionsgate,"$10,000,000","$80,238,724","$84,635,551","$164,874,275"
532,Bringing Down the House ,2003,Comedy,PG-13,105,Walt Disney Studios Motion Pictures,"$33,000,000","$132,716,677","$32,013,002","$164,729,679"
543,Daddy Day Care ,2003,Family,PG,92,Revolution Studios,"$60,000,000","$104,297,061","$60,136,806","$164,433,867"
1382,The Spiderwick Chronicles ,2008,Family,PG,96,Paramount Pictures,"$90,000,000","$71,195,053","$92,975,274","$164,170,327"
1030,The Pink Panther ,2006,Crime,PG,93,Sony Pictures Entertainment (SPE),"$80,000,000","$82,226,474","$81,889,423","$164,115,897"
1043,Miami Vice ,2006,Thriller,R,132,Universal Pictures,"$135,000,000","$63,450,470","$100,344,039","$163,794,509"
1390,Burn After Reading ,2008,Crime,R,96,Focus Features,"$37,000,000","$60,355,347","$103,373,555","$163,728,902"
1387,The Happening ,2008,Mystery,R,91,Twentieth Century Fox,"$48,000,000","$64,506,874","$98,896,925","$163,403,799"
78,Talladega Nights: The Ballad of Ricky Bobby ,2006,Sport,PG-13,108,Sony Pictures Entertainment (SPE),"$72,500,000","$148,213,377","$15,148,718","$163,362,095"
914,The Island ,2005,Action,PG-13,136,DreamWorks Distribution,"$126,000,000","$35,818,913","$127,130,251","$162,949,164"
874,The Interpreter ,2005,Mystery,PG-13,128,Universal Pictures,"$80,000,000","$72,708,161","$90,236,762","$162,944,923"
1378,27 Dresses ,2008,Comedy,PG-13,111,Twentieth Century Fox,"$30,000,000","$76,808,654","$85,846,697","$162,655,351"
2626,The Magnificent Seven ,2016,Action,PG-13,132,Sony Pictures Entertainment (SPE),"$90,000,000","$93,432,655","$68,927,981","$162,360,636"
937,Memoirs of a Geisha ,2005,Romance,PG-13,145,Sony Pictures Entertainment (SPE),"$85,000,000","$57,490,508","$104,752,454","$162,242,962"
2650,Jack Reacher: Never Go Back ,2016,Action,PG-13,118,Paramount Pictures,"$60,000,000","$58,697,076","$103,449,000","$162,146,076"
2168,Insidious: Chapter 2 ,2013,Thriller,PG-13,106,FilmDistrict,"$5,000,000","$83,586,447","$78,332,871","$161,919,318"
1854,Limitless ,2011,Sci-Fi,PG-13,105,Relativity Media,"$27,000,000","$79,249,455","$82,600,000","$161,849,455"
216,Scream 3 ,2000,Horror,R,116,Dimension Films,"$40,000,000","$89,143,175","$72,691,101","$161,834,276"
2352,Into the Storm ,2014,Thriller,PG-13,89,Warner Bros.,"$50,000,000","$47,602,194","$113,900,000","$161,502,194"
2333,Unbroken ,2014,Sport,PG-13,137,Universal Pictures,"$65,000,000","$115,637,895","$45,821,402","$161,459,297"
538,Freaky Friday ,2003,Music,PG,97,Walt Disney Studios Motion Pictures,"$20,000,000","$110,230,332","$50,616,000","$160,846,332"
2984,The Predator ,2018,Adventure,R,107,Twentieth Century Fox,"$88,000,000","$51,024,708","$109,517,426","$160,542,134"
610,Johnny English ,2003,Comedy,PG,89,Universal Pictures,"$40,000,000","$28,082,366","$132,383,634","$160,466,000"
2018,Underworld: Awakening ,2012,Sci-Fi,R,88,Screen Gems,"$70,000,000","$62,321,039","$97,791,632","$160,112,671"
560,Lara Croft Tomb Raider: The Cradle of Life ,2003,Adventure,PG-13,117,Paramount Pictures,"$95,000,000","$65,660,196","$94,439,026","$160,099,222"
1956,Johnny English Reborn ,2011,Comedy,PG,101,Universal Pictures,"$45,000,000","$8,305,970","$151,772,616","$160,078,586"
1203,Norbit ,2007,Romance,PG-13,103,DreamWorks,"$60,000,000","$95,673,607","$64,140,883","$159,814,490"
1374,21 ,2008,History,PG-13,123,Sony Pictures Entertainment (SPE),"$35,000,000","$81,159,365","$78,649,005","$159,808,370"
3091,Johnny English Strikes Again ,2018,Comedy,PG,89,Universal Pictures,"$25,000,000","$4,412,170","$154,558,606","$158,970,776"
2490,Focus ,2015,Romance,R,105,Warner Bros.,"$50,100,000","$53,862,963","$104,900,000","$158,762,963"
873,Sin City ,2005,Thriller,R,124,Dimension Films,"$40,000,000","$74,103,820","$84,630,000","$158,733,820"
2474,Goosebumps ,2015,Fantasy,PG,103,Sony Pictures Entertainment (SPE),"$58,000,000","$80,080,379","$78,180,573","$158,260,952"
1884,Final Destination 5 ,2011,Action,R,92,Warner Bros.,"$40,000,000","$42,587,643","$115,300,000","$157,887,643"
