,title_without_year,year,main_genre,MPAA-Rating,Runtime,Distributor,Budget_$,Domestic_$,International_$,total_revenue_$
2480,War Room ,2015,Drama,PG,120,TriStar Pictures,"$3,000,000","$67,790,117","$5,477,757","$73,267,874"
731,Without a Paddle ,2004,Adventure,PG-13,95,Paramount Pictures,"$19,000,000","$58,169,327","$14,859,863","$73,029,190"
1074,Lady in the Water ,2006,Mystery,PG-13,110,Warner Bros.,"$70,000,000","$42,285,169","$30,500,000","$72,785,169"
895,"Yours, Mine & Ours ",2005,Family,PG,88,Paramount Pictures,"$45,000,000","$53,412,862","$19,250,061","$72,662,923"
943,Lord of War ,2005,Action,R,122,Lionsgate,"$50,000,000","$24,149,632","$48,467,436","$72,617,068"
1874,Diary of a Wimpy Kid: Rodrick Rules ,2011,Animation,PG,100,Twentieth Century Fox,"$21,000,000","$52,698,535","$19,828,461","$72,526,996"
3169,Doctor Sleep ,2019,Horror,R,152,Warner Bros.,"$45,000,000","$31,581,712","$40,800,000","$72,381,712"
3026,Second Act ,2018,Comedy,PG-13,103,STX Entertainment,"$16,000,000","$39,282,227","$33,000,000","$72,282,227"
3148,What Men Want ,2019,Comedy,R,117,Paramount Pictures,"$20,000,000","$54,611,903","$17,604,391","$72,216,294"
775,Around the World in 80 Days ,2004,Comedy,PG,120,Walt Disney Studios Motion Pictures,"$110,000,000","$24,008,137","$48,170,758","$72,178,895"
1451,Babylon A.D. ,2008,Adventure,PG-13,90,Twentieth Century Fox,"$70,000,000","$22,532,572","$49,576,628","$72,109,200"
1569,Funny People ,2009,Comedy,R,146,Universal Pictures,"$75,000,000","$51,855,045","$19,730,190","$71,585,235"
2525,Run All Night ,2015,Crime,R,114,Warner Bros.,"$50,000,000","$26,461,644","$45,100,000","$71,561,644"
366,The Royal Tenenbaums ,2001,Comedy,R,110,Walt Disney Studios Motion Pictures,"$21,000,000","$52,364,010","$19,077,240","$71,441,250"
2390,Brick Mansions ,2014,Crime,PG-13,90,Relativity Media,"$28,000,000","$20,396,829","$51,019,901","$71,416,730"
556,Holes ,2003,Adventure,PG,117,Walt Disney Studios Motion Pictures,"$20,000,000","$67,406,573","$4,000,000","$71,406,573"
2245,The Counselor ,2013,Crime,R,117,Twentieth Century Fox,"$25,000,000","$16,973,715","$54,035,619","$71,009,334"
760,Anacondas: The Hunt for the Blood Orchid ,2004,Adventure,PG-13,97,Screen Gems,"$20,000,000","$32,238,923","$38,753,975","$70,992,898"
753,Taxi ,2004,Thriller,PG-13,97,Twentieth Century Fox,"$25,000,000","$36,611,066","$34,167,263","$70,778,329"
499,Brotherhood of the Wolf ,2002,Adventure,R,142,Universal Pictures,"$29,000,000","$11,260,096","$59,492,808","$70,752,904"
1080,The Grudge 2 ,2006,Thriller,PG-13,102,Sony Pictures Entertainment (SPE),"$20,000,000","$39,143,839","$31,567,336","$70,711,175"
1246,Children of Men ,2006,Sci-Fi,R,109,Universal Pictures,"$76,000,000","$35,552,383","$34,903,387","$70,455,770"
1398,The House Bunny ,2008,Romance,PG-13,97,Sony Pictures Entertainment (SPE),"$25,000,000","$48,237,389","$22,202,307","$70,439,696"
2330,Think Like a Man Too ,2014,Comedy,PG-13,106,Screen Gems,"$24,000,000","$65,182,182","$4,999,246","$70,181,428"
739,A Cinderella Story ,2004,Romance,PG,95,Warner Bros.,"$19,000,000","$51,438,175","$18,629,734","$70,067,909"
1217,3:10 to Yuma ,2007,Crime,R,122,Lionsgate,"$55,000,000","$53,606,916","$16,409,304","$70,016,220"
1075,The Hills Have Eyes ,2006,Thriller,R,107,Fox Searchlight Pictures,"$15,000,000","$41,778,863","$28,230,089","$70,008,952"
1054,Curious George ,2006,Adventure,,87,Universal Pictures,"$50,000,000","$58,360,760","$11,505,164","$69,865,924"
3211,After ,2019,Romance,PG-13,105,Aviron Pictures,"$14,000,000","$12,138,565","$57,617,890","$69,756,455"
1878,The Dilemma ,2011,Comedy,PG-13,111,Universal Pictures,"$70,000,000","$48,475,290","$21,246,676","$69,721,966"
1741,The Last Exorcism ,2010,Mystery,PG-13,87,Lionsgate,"$1,800,000","$41,034,350","$28,398,177","$69,432,527"
1005,A Very Long Engagement ,2004,Mystery,R,133,Warner Independent Pictures (WIP),"$56,600,000","$6,524,389","$62,900,000","$69,424,389"
3156,Playing with Fire ,2019,Family,PG,96,Paramount Pictures,"$29,900,000","$44,451,847","$24,960,578","$69,412,425"
2657,13 Hours ,2016,Thriller,R,144,Paramount Pictures,"$50,000,000","$52,853,219","$16,558,151","$69,411,370"
1453,The X Files: I Want to Believe ,2008,Mystery,PG-13,104,Twentieth Century Fox,"$30,000,000","$20,982,478","$48,380,903","$69,363,381"
2049,Finding Nemo ,2012,Family,,100,Walt Disney Studios Motion Pictures,"$94,000,000","$41,128,283","$28,200,000","$69,328,283"
436,E.T. the Extra-Terrestrial ,2002,Family,PG,115,Universal Pictures,"$10,500,000","$35,306,015","$33,871,736","$69,177,751"
1598,The Men Who Stare at Goats ,2009,War,R,94,Overture Films,"$25,000,000","$32,428,195","$36,667,576","$69,095,771"
1723,Takers ,2010,Thriller,PG-13,107,Screen Gems,"$32,000,000","$57,744,720","$11,310,975","$69,055,695"
1076,John Tucker Must Die ,2006,Comedy,PG-13,89,Twentieth Century Fox,"$18,000,000","$41,011,711","$27,833,064","$68,844,775"
1572,Land of the Lost ,2009,Comedy,PG-13,102,Universal Pictures,"$100,000,000","$49,438,370","$19,339,184","$68,777,554"
924,House of Wax ,2005,Thriller,R,113,Warner Bros.,"$40,000,000","$32,064,800","$36,701,321","$68,766,121"
2844,The Nut Job 2: Nutty by Nature ,2017,Comedy,PG,91,Open Road Films (II),"$40,000,000","$28,370,522","$40,372,963","$68,743,485"
461,The Sweetest Thing ,2002,Romance,R,84,Sony Pictures Entertainment (SPE),"$43,000,000","$24,718,164","$43,978,606","$68,696,770"
1306,Letters from Iwo Jima ,2006,History,R,141,Warner Bros.,"$19,000,000","$13,756,082","$54,917,146","$68,673,228"
2216,One Direction: This Is Us ,2013,Music,PG,92,TriStar Pictures,"$10,000,000","$28,873,374","$39,659,524","$68,532,898"
630,Looney Tunes: Back in Action ,2003,Family,PG,93,Warner Bros.,"$80,000,000","$20,991,364","$47,523,480","$68,514,844"
355,Pokémon 3 the Movie: Spell of the Unown ,2001,Family,G,93,Warner Bros.,"$16,000,000","$17,052,128","$51,359,147","$68,411,275"
452,Ghost Ship ,2002,Horror,R,91,Warner Bros.,"$20,000,000","$30,113,491","$38,236,393","$68,349,884"
564,Open Range ,2003,Western,R,139,Walt Disney Studios Motion Pictures,"$22,000,000","$58,331,254","$9,965,039","$68,296,293"
